model,orthogonal,trials,oracle_spread,rho(rloss),rho(rmse),oracle_gain,rmse_cost,rel_gain_%
pooled_loglog,False,52,0.9377698061831993,0.9993167065254527,-0.5375811411001025,0.3770996554327367,0.4629259405571604,30.061251106230873
lgbm_demand,False,57,4.185350174060639,0.9358122345771064,-0.4390378318799235,1.6132174773363313,0.1492859188527489,61.94451463199247
twoway_fe,False,54,0.27108133856733363,0.921845232117057,0.5553234298016596,0.00040802037925269374,0.0006179387083751209,0.03974557199882211
shrunk_per_product,False,53,0.23206371499292366,0.9029000727037725,0.2323289441796591,0.08490983373880412,0.0047095120338491725,6.154309943569741
r_learner,True,53,1.0660642386963493,0.7408856273164873,-0.20354089385805407,0.15245726255690206,0.26235126342617376,15.704528208756313
poisson_glm,False,47,0.2177390310423275,-0.14275798241554835,-0.8698519204072189,0.0008737768628428455,0.17400301246737304,0.08351198988194701
dml_partialling,True,57,0.12097765247096492,-0.966608312260909,0.398560591324645,-0.04746229503146171,0.21074989060537297,-6.2205408179617105
