arm_width,model,eps_rmse,eps_bias,eps_corr,regret,pct_of_oracle_profit,profit,se,lift_over_flat,lift_in_se,test_cost_per_quote,best_flat
0.05,conversion_glm,0.8993449476689362,-0.4624666206754091,0.8380635808744266,7.817986688962931,0.9324508305821256,81.0241881169915,2.666690759810231,-0.6158945516064591,-0.23095837015998352,0.09739970705111034,81.64008266859796
0.05,conversion_gbm,1.2280799084563854,-0.43163369331678436,0.4634756009582052,8.74715482042403,0.9244226082242692,80.52426981288573,2.6673312504877797,-1.115812855712221,-0.4183255662408523,0.09739970705111034,81.64008266859796
0.05,tlearner,2.9032539067378544,-0.19184076887011026,0.23620220798823635,18.800906435889814,0.8375559252562514,74.85556529797822,2.0573349840370523,-6.784517370619739,-3.297721286645632,0.09739970705111034,81.64008266859796
0.05,arm_posterior,2.518367586396048,0.5165185173909026,0.23175826387070989,32.8235493208472,0.7163971259889701,73.88874795370322,2.023513926651437,-7.751334714894739,-3.8306307719472175,0.09739970705111034,81.64008266859796
0.05,glm_then_gbm,0.9009396578815225,-0.4623591144356898,0.8357448864787116,7.837004541350451,0.9322865120453977,80.60249614863923,2.6346786891241103,-1.0375865199587224,-0.3938189974518921,0.09739970705111034,81.64008266859796
0.1,conversion_glm,0.8561679573649902,-0.3953671225961004,0.8374432889267867,6.727722468680425,0.9418709595048417,86.35485892902618,2.8750045270084086,0.15952771960913026,0.05548781510098251,0.5546093733765645,86.19533120941705
0.1,conversion_gbm,1.1639997591567084,-0.3252968628106494,0.5015543434111335,7.378788835613065,0.9362455991567231,85.46878274423533,2.843654638082932,-0.7265484651817218,-0.2554981380128246,0.5546093733765645,86.19533120941705
0.1,tlearner,1.5237749263236722,-0.2206622379426797,0.479868690292567,9.392536076508819,0.9188463685169368,82.97219301670384,2.3161887322400454,-3.2231381927132077,-1.3915697576147124,0.5546093733765645,86.19533120941705
0.1,arm_posterior,1.4726404628107421,-0.05481165296514501,0.43875940959970405,18.67564388276955,0.8386382219854568,79.86537547281473,2.080385607096473,-6.329955736602315,-3.042683873129093,0.5546093733765645,86.19533120941705
0.1,glm_then_gbm,0.8581145171052114,-0.395246317279101,0.834904551247169,6.779747004475931,0.9414214557742588,85.63108880490124,2.8338253659214696,-0.5642424045158094,-0.19910980094298641,0.5546093733765645,86.19533120941705
0.2,conversion_glm,0.7475271840814391,-0.18007684088661868,0.8367695332577941,4.000779387803004,0.9654323631617625,94.05108270383464,3.1852225932479974,2.3708842271444155,0.7443386318338291,2.1563894828133954,91.68019847669022
0.2,conversion_gbm,1.0731850871077717,-0.2067833223709563,0.5769966483661262,5.761366487107844,0.9502204932805103,91.88912350916199,3.1624754824266783,0.2089250324717682,0.0660637635399003,2.1563894828133954,91.68019847669022
0.2,tlearner,0.8665303978214295,-0.1978353861742621,0.7526017492207422,4.489846469312911,0.9612067132009796,90.49827609359228,2.5302702033754665,-1.181922383097941,-0.4671131097071042,2.1563894828133954,91.68019847669022
0.2,arm_posterior,0.9123581899341966,-0.1716989729314995,0.7186921407757183,7.931641649617049,0.9314688260715211,90.62455429907742,2.448577481528117,-1.0556441776128054,-0.43112549452753895,2.1563894828133954,91.68019847669022
0.2,glm_then_gbm,0.7505571403866443,-0.18025185818518819,0.8339466947765553,4.101558668682179,0.9645616074302991,93.54279356652518,3.1772342853889515,1.8625950898349544,0.5862315846207541,2.1563894828133954,91.68019847669022
0.3,conversion_glm,0.7412239626174444,-0.15504424629867475,0.8350116429079613,3.830059347283461,0.966907422841304,98.26850852043371,3.4968878766431697,4.0863497330623915,1.168567559845549,4.88669754261889,94.18215878737132
0.3,conversion_gbm,1.0417267574268736,-0.12406669109738266,0.6019572879710015,5.3326564708025375,0.9539246445760644,98.30490792690473,3.585566745697977,4.122749139533411,1.1498179874855083,4.88669754261889,94.18215878737132
0.3,tlearner,0.7143674869745148,-0.2553359580751162,0.8409054494841933,3.7354738223618904,0.967724663123438,98.02294773418163,3.329998290676988,3.8407889468103065,1.1533906661644187,4.88669754261889,94.18215878737132
0.3,arm_posterior,0.7522703679335248,-0.2567495218252467,0.8191626737872222,4.738623584422696,0.9590572227804389,95.82259923959062,2.7554640150023597,1.6404404522192948,0.5953409092943244,4.88669754261889,94.18215878737132
0.3,glm_then_gbm,0.7449718241848392,-0.15492356510760574,0.8316516479379447,3.900641226519471,0.9662975794752265,97.82868696398982,3.492863418659878,3.646528176618503,1.0439939211873284,4.88669754261889,94.18215878737132
0.5,conversion_glm,0.7510936554040352,-0.1706219989073725,0.8325367333049065,4.07081341040332,0.9648272534006621,102.90042152390032,4.1275755370787195,4.69863834465481,1.1383530846246508,14.17746062693054,98.20178317924551
0.5,conversion_gbm,1.0231375419872764,-0.07543828361282667,0.6093548260522991,4.890597693250282,0.9577441321814465,102.79340906744675,4.137743393754341,4.591625888201236,1.109693243697036,14.17746062693054,98.20178317924551
0.5,tlearner,0.8250902586522935,-0.5319848611628075,0.8903443066409715,6.093589214406323,0.9473500139379917,103.37957764251165,4.056847184353383,5.177794463266139,1.276309958934631,14.17746062693054,98.20178317924551
0.5,arm_posterior,0.827692845779795,-0.5205386253437054,0.8784774457256456,6.404773526114257,0.9446613112542921,100.14144735236493,3.207441692982274,1.939664173119425,0.6047387166423993,14.17746062693054,98.20178317924551
0.5,glm_then_gbm,0.7554998403091706,-0.17031826857856536,0.8284541681346465,4.0698412157493244,0.9648356533818855,102.91620440361461,4.128077765945,4.714421224369104,1.142037890676674,14.17746062693054,98.20178317924551
