delta,dead_zone_%,mean_eps,bias,oracle_rmse
0.005,11.976420199415111,1.228153216784197,-0.4335194788554617,4.240595315421622
0.01,4.151794966265227,1.1961791015961565,-0.4654935940435023,2.9170496322287462
0.015,2.4270615055150024,1.1794040649067816,-0.4822686307328772,2.3436304014678058
0.03,1.04312985009326,1.1794806428959048,-0.482192052743754,1.6437140041007317
0.05,0.6562737467474152,1.172120480982491,-0.4895522146571678,1.2780653867661724
0.1,0.42830497156147096,1.1753841416241524,-0.4862885540155064,0.9709089150516502
0.18,0.2947475073111198,1.1840471106866592,-0.47762558495299956,0.8230126163610592
0.3,0.19803348147465866,1.206714450932225,-0.45495824470743385,0.7408642162563503
