arms,price_slope,num_leaves,true_sd,vus,ceiling,vus_norm,oracle_corr,oracle_bias,abs_bias
+/-10% (the motivating test),0.0,8,0.0,0.17669,0.2488150841629636,0.1220149290615998,,-0.3061842990660033,0.3061842990660033
+/-10% (the motivating test),0.0,31,0.0,0.17636,0.23100384677215613,0.1506645662343268,,-0.5939622623600693,0.5939622623600693
+/-10% (the motivating test),0.0,127,0.0,0.176486,0.23796857295565504,0.13771487810627875,,-0.9860839374291211,0.9860839374291211
+/-10% (the motivating test),-0.3,8,0.29342045469416056,0.17846,0.2516533226645673,0.1387668828106929,0.3867888276368782,-0.31824082356678884,0.31824082356678884
+/-10% (the motivating test),-0.3,31,0.29342045469416056,0.175816,0.23952906810698488,0.12557002174609336,0.1769940088536112,-0.504578821846394,0.504578821846394
+/-10% (the motivating test),-0.3,127,0.29342045469416056,0.178558,0.22647355872716887,0.19882881259410293,0.08858514788330593,-0.8634731646771501,0.8634731646771501
+/-10% (the motivating test),-0.6,8,0.5853308384718333,0.176315,0.2516256052697016,0.11356466420107415,0.6070672412394227,-0.35690008518233984,0.35690008518233984
+/-10% (the motivating test),-0.6,31,0.5853308384718333,0.17319,0.24240566523689633,0.08612912048585555,0.36914729354448084,-0.4800252672723193,0.4800252672723193
+/-10% (the motivating test),-0.6,127,0.5853308384718333,0.174856,0.21718267656578033,0.16211362199208532,0.1430208912117957,-1.141773885064154,1.141773885064154
+/-10% (the motivating test),-1.2,8,1.0732338237386747,0.17751,0.2538219466461944,0.12441395789079421,0.7805167801451369,-0.41669102441436534,0.41669102441436534
+/-10% (the motivating test),-1.2,31,1.0732338237386747,0.173,0.2477426225651666,0.07811604887227125,0.5323068562190086,-0.45338336605707275,0.45338336605707275
+/-10% (the motivating test),-1.2,127,1.0732338237386747,0.17216,0.22667012378645077,0.09155028055078696,0.20575980828211138,-1.2266894828654251,1.2266894828654251
+/-50%,0.0,8,0.0,0.16983,0.5778586017720323,0.00769308214306967,,-0.1414571117793324,0.1414571117793324
+/-50%,0.0,31,0.0,0.17386,0.5461092216090129,0.018957634666007108,,-0.3183313990533807,0.3183313990533807
+/-50%,0.0,127,0.0,0.173068,0.4702429691869189,0.021086406548173488,,-0.6697283619955546,0.6697283619955546
+/-50%,-0.3,8,0.29342045469416056,0.174844,0.5766278856377487,0.01994660215387387,0.8263452521892133,-0.1710940503513494,0.1710940503513494
+/-50%,-0.3,31,0.29342045469416056,0.176154,0.559664803685837,0.02414091172363638,0.6252899628208414,-0.2897973255683217,0.2897973255683217
+/-50%,-0.3,127,0.29342045469416056,0.17721,0.47283026775086445,0.03443692619239161,0.3164099904747067,-0.6972576721434507,0.6972576721434507
+/-50%,-0.6,8,0.5853308384718333,0.171769,0.5836285064381107,0.012236931168881476,0.9523973950341272,-0.1758050310419732,0.1758050310419732
+/-50%,-0.6,31,0.5853308384718333,0.175536,0.5780615020536611,0.021559175202066058,0.8336488095238308,-0.2547500875554598,0.2547500875554598
+/-50%,-0.6,127,0.5853308384718333,0.177718,0.4911567005363818,0.03405754315946268,0.6131824174422624,-0.6613122974787364,0.6613122974787364
+/-50%,-1.2,8,1.0732338237386747,0.172039,0.6042240016325273,0.01227800999782692,0.9861251490078933,-0.1836224728748168,0.1836224728748168
+/-50%,-1.2,31,1.0732338237386747,0.17453,0.6005099871079845,0.0181248228630892,0.9399835518163292,-0.25387308079485416,0.25387308079485416
+/-50%,-1.2,127,1.0732338237386747,0.171742,0.5131871090034035,0.014646562549407435,0.7916152169141861,-0.674533203118685,0.674533203118685
