world,model,bias,oracle_rmse
exogenous price,pooled_loglog,0.07818970547553894,0.7476887010481325
exogenous price,twoway_fe,0.1752465959259395,0.7639608190321815
exogenous price,poisson_glm,0.1442536651230084,0.7574522318497142
exogenous price,lgbm_demand,0.07929747675875509,1.5680417574261445
exogenous price,dml_partialling,0.08075294156775126,0.7479610960501466
exogenous price,r_learner,-0.03574530675608978,2.0268213798718904
exogenous price,shrunk_per_product,0.28493470142049904,0.5508970176878932
mild confounding,pooled_loglog,-0.814346749483563,1.1027626181672723
mild confounding,twoway_fe,-1.448208367534247,1.6279533898207592
mild confounding,poisson_glm,-1.1611775121902244,1.37886111644682
mild confounding,lgbm_demand,-0.7017716539675473,1.3109624783252845
mild confounding,dml_partialling,-0.11281335664125369,0.7520981432428607
mild confounding,r_learner,-0.2664649211965222,2.1527543542418512
mild confounding,shrunk_per_product,-1.195835349288763,1.5012313074052384
heavy confounding,pooled_loglog,-0.8133077940791937,1.1019956132138897
heavy confounding,twoway_fe,-0.8313905852133219,1.115408027949432
heavy confounding,poisson_glm,-0.5139456297918226,0.9039164087540426
heavy confounding,lgbm_demand,-0.6802697199560077,1.2824994355081634
heavy confounding,dml_partialling,-0.17152616645290886,0.7631159737619984
heavy confounding,r_learner,-0.34066128079546076,1.7203741427133554
heavy confounding,shrunk_per_product,-1.144481413401246,1.2050545983411374
poisson outcome,pooled_loglog,-1.0168392631722876,1.2597169724828878
poisson outcome,twoway_fe,-1.4715577170082919,1.6487591934904706
poisson outcome,poisson_glm,-1.1862432536397303,1.4000349354349935
poisson outcome,lgbm_demand,-0.8994921201813911,1.3439670493940936
poisson outcome,dml_partialling,-0.458700199472565,0.8736879515186545
poisson outcome,r_learner,-0.5723460866027141,1.8027656033506059
poisson outcome,shrunk_per_product,-1.3032958098714569,1.5368823245724796
