link,model,tuned,select_on,eps_rmse,eps_bias,eps_corr,regret,pct_negative,policy_profit,policy_se,logloss
logit,glm (v1),True,logloss,0.8407957484050044,-0.3696700855578159,0.834499153367782,6.356519714280168,0.0,89.10704921997139,4.322751216946521,0.5150070903334961
logit,glm (v1),False,regret,0.8407957484050044,-0.3696700855578159,0.834499153367782,6.356519714280168,0.0,89.10704921997139,4.322751216946521,0.5150070903334961
logit,glm+interactions (v2),True,logloss,0.8636700847468856,-0.38249238347287284,0.8117925800598619,8.492211750286492,0.0,89.44219462623808,4.419216131352593,0.5151883496827032
logit,glm+interactions (v2),False,regret,0.8299170790611374,-0.32792849007112523,0.8154756168098296,7.520697386968155,0.0,90.54807338173758,4.448015016936941,0.5151361570191113
logit,gbm (v1),True,logloss,2.3830621677467696,-0.3873159538335331,0.2350594803177837,16.92535541871569,0.06490666666666667,86.65077678411068,4.378435627209988,0.524549743222128
logit,gbm (v1),False,regret,1.048972024920394,-0.2745263914700047,0.6099788056523743,8.591345875080576,0.00736,89.51614470798681,4.399054182484804,0.531786198968657
logit,gbm (v2: I1+I2+I3+I4),True,logloss,1.839593895919356,-1.3360574474773088,0.5480287424972491,14.227176741838033,0.3185866666666667,88.1261077337834,4.432151546976805,0.5177043144855545
logit,gbm (v2: I1+I2+I3+I4),False,regret,1.0487088209472382,0.06797319387461975,0.5544023659314457,3.0367795957747816,0.0,87.79068056137857,4.032974209678884,0.5248395325953411
logit,tlearner (v1),True,logloss,2.842008046547519,-0.05701794983433528,0.3799549088597536,16.32789504165267,0.23370666666666667,83.75479013603079,3.817906340711706,0.5273146251095469
logit,tlearner (v1),False,regret,1.2808047418054056,-0.4044399523054014,0.577311135971863,7.900499514654753,0.07578666666666667,91.09944280896121,4.384456775277538,0.5338312093428235
logit,tlearner (anchored),True,logloss,1.2856486863834307,-0.0884375234273187,0.6269910901926837,8.095669155127256,2.6666666666666667e-05,90.119759887453,4.314997075033602,0.5236709642972966
logit,tlearner (anchored),False,regret,0.6449700122944341,-0.10491359589310267,0.8607160746665313,3.558578223197024,0.00024,89.99493705232398,4.20370403330797,0.5338785616628936
logit,aipw arm effects,True,logloss,5.495049677761497,0.31314701800659517,0.29966817749967806,12.530599956893173,0.21066666666666667,86.1691724903207,3.9629971953287444,0.5292821619952974
logit,aipw arm effects,False,regret,1.309827911140003,-0.6630626371004715,0.47969213210586137,9.621592587128731,0.04221333333333333,89.30958201743539,4.438249972767081,0.5987288657072213
