elasticity_sd,constraint,num_leaves,weight_cap,mean_eps,sd_eps,true_mean,true_sd,oracle_bias,oracle_rmse,oracle_corr,vus,ceiling,vus_norm,verdict,chance,abs_bias
0.0,none,8,,1.4123609799134207,0.758603042673986,1.7186820226275614,0.4751982891335901,-0.30632104271414073,0.7567719958818709,0.4472017518805056,0.179284,0.25773581196266077,0.13854674151518961,plausible,0.16666666666666666,0.30632104271414073
0.0,none,31,,1.226107446607836,1.4315222819828046,1.7186820226275614,0.4751982891335901,-0.4925745760197253,1.497754338160124,0.20171136627647154,0.173384,0.2421096609748527,0.08903853028278438,plausible,0.16666666666666666,0.4925745760197253
0.0,none,127,,0.8731152098890843,2.507492614228438,1.7186820226275614,0.4751982891335901,-0.8455668127384771,2.6583593896164106,0.06774385245465603,0.175702,0.22969464628206487,0.14335432277010413,plausible,0.16666666666666666,0.8455668127384771
0.0,none,31,0.99,1.274081582978521,1.468668014367662,1.7186820226275614,0.4751982891335901,-0.4446004396490404,1.4902076891758989,0.25773416585694314,0.171734,0.24817120107969493,0.06217241003616287,plausible,0.16666666666666666,0.4446004396490404
0.0,isotonic,8,,1.4621767045953988,0.7091049381283206,1.7186820226275614,0.4751982891335901,-0.2565053180321626,0.6931664023669318,0.4658616200864461,0.179284,0.2605087100173728,0.13445288362040336,plausible,0.16666666666666666,0.2565053180321626
0.0,isotonic,31,,1.601641449280202,1.1427521408096224,1.7186820226275614,0.4751982891335901,-0.1170405733473594,1.139338553335059,0.22770405606467714,0.173384,0.26695045796425154,0.06698324072531475,plausible,0.16666666666666666,0.1170405733473594
0.0,isotonic,127,,1.9410855362616715,1.7774139462706449,1.7186820226275614,0.4751982891335901,0.22240351363411004,1.823591169883212,0.06452120105022534,0.175702,0.30185825606980243,0.06683354617860396,plausible,0.16666666666666666,0.22240351363411004
0.0,isotonic,31,0.99,1.6414878664462937,1.1668079405576368,1.7186820226275614,0.4751982891335901,-0.07719415618126768,1.1433493039560167,0.2578750870894285,0.171734,0.2707660820579478,0.04867782700110875,plausible,0.16666666666666666,0.07719415618126768
0.0,softplus,8,,1.5352472327594793,0.7235690115724644,1.7186820226275614,0.4751982891335901,-0.18343478986808215,0.5923889510890992,0.6283311192541091,0.168968,0.2595628654035494,0.02477317010410295,plausible,0.16666666666666666,0.18343478986808215
0.0,softplus,31,,1.3692062879239637,0.55709492049974,1.7186820226275614,0.4751982891335901,-0.3494757347035977,0.5607724296677302,0.649406975656041,0.165562,0.2505285483135477,-0.01317245266828275,at or below chance,0.16666666666666666,0.3494757347035977
0.0,softplus,127,,1.0050485984373014,0.3015433163491162,1.7186820226275614,0.4751982891335901,-0.71363342419026,0.7866594675715326,0.722929670827395,0.173548,0.24455440465158687,0.08834937965030697,plausible,0.16666666666666666,0.71363342419026
0.0,softplus,31,0.99,1.4046220705671102,0.5476103991381173,1.7186820226275614,0.4751982891335901,-0.31405995206045123,0.5247105557462779,0.6705832028608026,0.165862,0.2535786815524607,-0.009258405385308498,at or below chance,0.16666666666666666,0.31405995206045123
0.3,none,8,,1.3577647476925003,0.7275135764408018,1.7225833628430334,0.5504957314056061,-0.36481861515053304,0.8314675276525949,0.34217307869908137,0.181373,0.25552421427917454,0.1655046051626934,plausible,0.16666666666666666,0.36481861515053304
0.3,none,31,,1.2665637991718495,1.4394270279416705,1.7225833628430334,0.5504957314056061,-0.4560195636711839,1.4859233792388902,0.23661156824410015,0.17197,0.24626952685080195,0.06662239674637092,plausible,0.16666666666666666,0.4560195636711839
0.3,none,127,,0.5826761397747806,2.50663120125836,1.7225833628430334,0.5504957314056061,-1.1399072230682528,2.74529263200333,0.12646023516970212,0.17605,0.2286825301579745,0.15130537261080831,plausible,0.16666666666666666,1.1399072230682528
0.3,none,31,0.99,1.3523883764410551,1.4300841084912108,1.7225833628430334,0.5504957314056061,-0.37019498640197823,1.4523449092386558,0.23875656935746312,0.174144,0.25219047841026926,0.08742984182873093,plausible,0.16666666666666666,0.37019498640197823
0.3,isotonic,8,,1.4054254916087159,0.6796391045881222,1.7225833628430334,0.5504957314056061,-0.3171578712343175,0.7802647389416392,0.34309616095208245,0.181373,0.25795743386992454,0.16109332612562957,plausible,0.16666666666666666,0.3171578712343175
0.3,isotonic,31,,1.6412633596414334,1.1667131003331561,1.7225833628430334,0.5504957314056061,-0.08132000320159993,1.170823015291397,0.23358645655603844,0.17197,0.26983644248113525,0.05140394356260306,plausible,0.16666666666666666,0.08132000320159993
0.3,isotonic,127,,1.7960741822312472,1.7468319299280104,1.7225833628430334,0.5504957314056061,0.07349081938821378,1.76421972865441,0.12863505618031337,0.17605,0.29279046751577653,0.0743978001785662,plausible,0.16666666666666666,0.07349081938821378
0.3,isotonic,31,0.99,1.7065783411616193,1.1619755508157212,1.7225833628430334,0.5504957314056061,-0.016005021681414044,1.1544495058623148,0.25070657545786507,0.174144,0.2741834954653624,0.06954570197874028,plausible,0.16666666666666666,0.016005021681414044
0.3,softplus,8,,1.5137774076934516,0.7257372073067089,1.7225833628430334,0.5504957314056061,-0.20880595514958178,0.6727679139639484,0.5265422549914166,0.168924,0.2582691114886186,0.024642719282448433,plausible,0.16666666666666666,0.20880595514958178
0.3,softplus,31,,1.351077220071859,0.5607910928688381,1.7225833628430334,0.5504957314056061,-0.37150614277117433,0.6515504000904639,0.5361468097012883,0.16568,0.24942235198642898,-0.011922645107151863,at or below chance,0.16666666666666666,0.37150614277117433
0.3,softplus,127,,0.9896350144937388,0.29263208671760765,1.7225833628430334,0.5504957314056061,-0.7329483483492946,0.8597268565806301,0.5796727131520879,0.173612,0.2437875394015316,0.0900577637031002,plausible,0.16666666666666666,0.7329483483492946
0.3,softplus,31,0.99,1.3876432796336615,0.547595527899627,1.7225833628430334,0.5504957314056061,-0.33494008320937185,0.6167043290749122,0.5552631483188437,0.16582,0.2523966377970246,-0.009875970509534537,at or below chance,0.16666666666666666,0.33494008320937185
0.55,none,8,,1.4013268841738207,0.7532305941935565,1.7293856456502246,0.6997233057211034,-0.3280587614764039,0.9378682989067852,0.2703662029827382,0.179779,0.25738569727310634,0.14453784664231806,plausible,0.16666666666666666,0.3280587614764039
0.55,none,31,,1.2417670314357971,1.442111357825962,1.7293856456502246,0.6997233057211034,-0.4876186142144274,1.5412016923001457,0.21394120825129373,0.169636,0.24183464756290587,0.03950263527009161,plausible,0.16666666666666666,0.4876186142144274
0.55,none,127,,0.6246234461601475,2.5155474419882475,1.7293856456502246,0.6997233057211034,-1.104762199490077,2.8160917768613243,0.030598524095743106,0.174114,0.2161411680464758,0.15052871935304918,plausible,0.16666666666666666,1.104762199490077
0.55,none,31,0.99,1.299803360941595,1.4641504852849032,1.7293856456502246,0.6997233057211034,-0.42958228470862947,1.514421733648178,0.2559380130384601,0.170852,0.24778214167747606,0.05159722399179209,plausible,0.16666666666666666,0.42958228470862947
0.55,isotonic,8,,1.4443716950811847,0.7080959587947463,1.7293856456502246,0.6997233057211034,-0.2850139505690399,0.8945706927147941,0.2744748781081483,0.179779,0.25972240071902775,0.1409083864295264,plausible,0.16666666666666666,0.2850139505690399
